Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030894	2264	720	669	2168	670	850	1140	1125	953	1106	937	1042	1050.54	1073	1028	0.959	-0.061	-0.453	0.65071191842502	0.909884155620491	0.0072	0.0158	0.012	0.012	TRUE	0.1108
FBgn0030895	12	2	2	4	1	2	6	3	3	2	1	2	2.98	4	2	0.473	-1.082	-0.914	0.360655414547022	NA	0	1.0679	0.6324	0.6324	TRUE	0.6576
FBgn0030897	43	8	6	39	3	1	22	13	9	20	4	1	11.34	15	8	0.623	-0.683	-0.802	0.422574292299403	0.814017574205707	0.7105	0.2906	0.4279	0.4279	TRUE	3.0882
FBgn0030898	1	0	0	0	0	0	1	0	0	0	0	0	0.08	0	0	0.506	-0.982	-0.242	0.809052835605213	NA	0	37.5264	10	10	TRUE	0.1276
FBgn0030899	0	0	0	0	0	1	0	0	0	0	0	1	0.2	0	0	2.016	1.012	0.249	0.803217836453667	NA	0	15.4281	10	10	TRUE	0.5324
FBgn0030900	4	0	0	5	1	1	2	0	0	3	1	1	1.2	1	2	2.083	1.059	0.538	0.590641336545253	NA	0	2.6412	1.8781	1.8781	TRUE	1.8733
FBgn0030904	51	23	11	27	4	15	26	36	16	14	6	18	19.18	26	13	0.498	-1.006	-1.815	0.0695106445179302	0.343580083641068	0.1168	0.1771	0.1606	0.1606	TRUE	0.1524
FBgn0030905	5	0	0	7	1	0	3	0	0	4	1	0	1.25	1	2	1.738	0.797	0.373	0.708794904960941	NA	2.1225	2.5366	2.4482	2.4482	TRUE	0.5527
FBgn0030912	1	1	1	2	4	2	1	2	1	1	6	2	2.09	1	3	2.727	1.447	0.951	0.341806572983599	NA	0	1.5175	0.9941	0.9941	TRUE	0.3162
FBgn0030913	15	4	4	55	4	1	8	6	6	28	6	1	9.06	7	12	1.858	0.893	0.947	0.343728542548762	0.761049292532623	0.793	0.3603	0.5154	0.5154	TRUE	1.7985
FBgn0030914	8	1	1	10	1	4	4	2	1	5	1	5	3.07	2	4	1.537	0.62	0.518	0.60454835875919	NA	0	1.0387	0.6939	0.6939	TRUE	0.8695
FBgn0030915	375	144	146	352	198	201	189	225	208	179	277	246	220.79	207	234	1.125	0.17	0.812	0.417044971273757	0.81074401708815	0.0257	0.0271	0.0265	0.0265	TRUE	0.5308
FBgn0030918	16	4	4	35	8	10	8	6	6	18	11	12	10.22	7	14	2.048	1.034	1.558	0.119173405824592	0.469352670075875	0	0.3211	0.2041	0.2041	TRUE	0.4731
FBgn0030921	1	0	0	0	0	0	1	0	0	0	0	0	0.08	0	0	0.506	-0.982	-0.242	0.809052835605213	NA	0	37.5264	10	10	TRUE	0.1276
FBgn0030925	74	21	15	60	32	33	37	33	21	31	45	40	34.54	30	39	1.222	0.289	0.742	0.458274648884099	0.832861109490037	0.0329	0.104	0.0784	0.0784	TRUE	0.3888
FBgn0030926	3	0	1	6	1	1	2	0	1	3	1	1	1.44	1	2	1.861	0.896	0.526	0.598622013205759	NA	0	2.2048	1.3372	1.3372	TRUE	0.5041
FBgn0030927	25	14	16	32	18	13	13	22	23	16	25	16	19.12	19	19	1.022	0.032	0.063	0.950057544988181	0.990305740574573	0.0523	0.1776	0.1304	0.1304	TRUE	0.8346
FBgn0030928	51	15	17	64	31	35	26	23	24	33	43	43	32.04	24	40	1.588	0.667	1.755	0.0791911711306267	0.373372065559506	0	0.1111	0.0694	0.0694	TRUE	0.2607
FBgn0030929	18	3	4	16	4	5	9	5	6	8	6	6	6.56	7	7	0.999	-0.002	-0.002	0.998327832924035	0.999644127210051	0	0.4932	0.307	0.307	TRUE	0.58
FBgn0030930	3020	1143	1215	3330	1412	1587	1521	1786	1731	1698	1975	1945	1776.12	1679	1873	1.116	0.158	1.251	0.210963709979061	0.610909664690009	0.0067	0.0146	0.0108	0.0108	TRUE	0.0859
FBgn0030931	22	21	14	58	14	16	11	33	20	30	20	20	22.1	21	23	1.147	0.198	0.378	0.705531728779437	0.9278612849818	0.1373	0.1553	0.1486	0.1486	TRUE	0.3538
FBgn0030932	11	6	8	13	13	12	6	9	11	7	18	15	10.97	9	13	1.509	0.594	0.859	0.390222236603793	0.794681680593336	0.1494	0.2998	0.2403	0.2403	TRUE	0.7344
FBgn0030933	11	5	4	21	4	6	6	8	6	11	6	7	7.12	7	8	1.306	0.385	0.499	0.617620275873552	0.899165288255182	0	0.4552	0.2816	0.2816	TRUE	0.5103
FBgn0030936	13	9	2	17	5	7	7	14	3	9	7	9	7.95	8	8	1.067	0.094	0.121	0.903550255545969	0.980291333471023	0.0416	0.4089	0.3017	0.3017	TRUE	0.4011
FBgn0030937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FBgn0030938	19	12	16	56	23	32	10	19	23	29	32	39	25.18	17	33	2.049	1.035	2.176	0.0295208288727368	0.203963338550198	0.0702	0.1379	0.1141	0.1141	TRUE	1.4163
FBgn0030940	27	9	4	8	2	4	14	14	6	4	3	5	7.52	11	4	0.352	-1.507	-1.878	0.0603537595483338	0.316404318008834	0	0.4314	0.2928	0.2928	TRUE	0.4828
FBgn0030941	2912	1050	1037	2257	1007	1105	1467	1641	1478	1151	1408	1354	1416.5	1529	1304	0.852	-0.23	-1.776	0.0756795047993756	0.364169286465715	0.0064	0.0151	0.0113	0.0113	TRUE	0.1336
FBgn0030943	1323	460	469	1538	585	642	666	719	668	784	818	787	740.48	684	796	1.165	0.22	1.824	0.0681680214732554	0.339772001825566	0	0.0171	0.009	0.009	TRUE	0.0212
