Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0072828	4021	1289	1393	2538	929	1180	2081	1931	1962	1296	1276	1464	1668.29	1991	1345	0.675	-0.567	-3.955	7.64786930083241e-05	0.00168597180435189	0.004	0.0298	0.0141	0.0141	TRUE	NA
FBtr0085774	7101	9	6	1324	5	4	3675	13	8	676	7	5	730.8	1232	229	0.276	-1.856	-3.951	7.79631162568723e-05	0.00171648961093917	0.176	0.0348	0.0816	0.0816	TRUE	NA
FBtr0077540	1005	232	240	526	171	155	520	348	338	269	235	192	316.91	402	232	0.582	-0.782	-3.944	8.02395685351992e-05	0.00176208558251882	0.0061	0.0465	0.0245	0.0245	TRUE	NA
FBtr0079084	236	100	88	124	45	43	122	150	124	63	62	53	95.73	132	59	0.455	-1.137	-3.934	8.36144831774175e-05	0.00182917347063251	0	0.0941	0.0476	0.0476	TRUE	NA
FBtr0070848	2540	976	1178	1885	554	752	1315	1462	1659	963	761	933	1182.03	1479	886	0.601	-0.735	-3.929	8.52491451906311e-05	0.00186255807536881	0.0203	0.0314	0.0243	0.0243	TRUE	NA
FBtr0075297	311	132	154	170	79	93	161	198	217	87	108	115	147.71	192	103	0.54	-0.89	-3.922	8.78872707263039e-05	0.00191531712862368	0	0.0701	0.0295	0.0295	TRUE	NA
FBtr0079275	24785	9495	9927	12376	7636	7766	12827	14225	13983	6320	10486	9634	11245.67	13678	8813	0.631	-0.665	-3.918	8.93543595771001e-05	0.0019448180470899	0.0163	0.0265	0.0207	0.0207	TRUE	NA
FBtr0071273	2363	1362	1067	1150	743	977	1223	2040	1503	587	1020	1212	1264.31	1589	940	0.575	-0.798	-3.904	9.48070793768571e-05	0.00205863026199474	0.0276	0.0311	0.0292	0.0292	TRUE	NA
FBtr0273385	316	78	89	167	41	43	164	117	125	85	56	53	100.11	135	65	0.478	-1.064	-3.903	9.48235034094713e-05	0.00205863026199474	0	0.0911	0.041	0.041	TRUE	NA
FBtr0086926	25	32	31	3	9	3	13	48	44	2	12	4	20.36	35	6	0.155	-2.685	-3.888	0.000101069146351517	0.00218042381015706	0	0.3463	0.2237	0.2237	TRUE	NA
