Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0343350	2278	537	549	3358	850	941	1179	805	773	1715	1167	1167	1134.34	919	1350	1.471	0.557	4.232	2.31562691307541e-05	0.000588375069424539	0	0.0317	0.0114	0.0114	TRUE	NA
FBtr0083122	707	270	221	1080	679	591	366	405	311	551	932	733	549.79	361	739	2.006	1.005	4.228	2.35606820084222e-05	0.000597765173263979	0.0393	0.0378	0.0385	0.0385	TRUE	NA
FBtr0347024	131	13	13	392	61	37	68	19	18	200	84	46	72.57	35	110	3.215	1.685	4.217	2.47176057595735e-05	0.000624347063891672	0.0511	0.1158	0.0855	0.0855	TRUE	NA
FBtr0300815	22	5	14	158	46	35	11	7	20	81	63	43	37.64	13	62	4.879	2.287	4.21	2.55704467896963e-05	0.000642106490322227	0.1072	0.1992	0.1603	0.1603	TRUE	NA
FBtr0081258	2348	726	862	3228	1401	1549	1215	1088	1214	1648	1924	1922	1501.8	1172	1831	1.556	0.638	4.206	2.60202658829893e-05	0.000651494277604598	0.0061	0.0302	0.0158	0.0158	TRUE	NA
FBtr0074809	966	430	464	1393	743	816	500	644	654	711	1020	1012	756.93	599	914	1.515	0.599	4.198	2.69418192976919e-05	0.000673073015014058	3e-04	0.0345	0.0132	0.0132	TRUE	NA
FBtr0085137	609	87	180	1215	496	361	315	130	254	620	681	448	408.07	233	583	2.56	1.356	4.198	2.69605947941612e-05	0.000673073015014058	0.1082	0.0419	0.0717	0.0717	TRUE	NA
FBtr0071911	3399	1095	989	4838	1764	1968	1759	1640	1393	2471	2422	2441	2021.13	1597	2445	1.533	0.616	4.195	2.72671553406654e-05	0.000678750335628087	0.0055	0.0291	0.015	0.015	TRUE	NA
FBtr0112735	30	12	12	100	44	50	16	18	17	51	60	62	37.32	17	58	3.424	1.776	4.195	2.72651650155443e-05	0.000678750335628087	0	0.2007	0.0889	0.0889	TRUE	NA
FBtr0083810	185	34	40	414	95	87	96	51	56	211	130	108	108.8	68	150	2.214	1.147	4.195	2.73213082441603e-05	0.000679112692312455	0	0.0859	0.0409	0.0409	TRUE	NA
FBtr0331425	71	43	31	163	100	112	37	64	44	83	137	139	84.05	48	120	2.45	1.293	4.17	3.03990320470776e-05	0.000749100285401477	0	0.1035	0.0541	0.0541	TRUE	NA
FBtr0073120	308	1259	1278	2475	2347	3060	159	1886	1800	1264	3223	3796	2021.41	1282	2761	3	1.585	4.17	3.04991102769392e-05	0.000750488149727093	0.2087	0.0291	0.1033	0.1033	TRUE	NA
FBtr0113129	65	151	107	300	222	443	34	226	151	153	305	550	236.36	137	336	2.84	1.506	4.169	3.06191520978057e-05	0.000752362575400381	0.1273	0.0535	0.0876	0.0876	TRUE	NA
FBtr0310621	31	23	13	122	53	73	16	34	18	62	73	91	49.07	23	75	3.369	1.752	4.161	3.16900892951206e-05	0.000777563263949376	0.0164	0.1588	0.0975	0.0975	TRUE	NA
FBtr0070239	756	161	205	1083	467	465	391	241	289	553	641	577	448.73	307	590	1.94	0.956	4.145	3.39415734451684e-05	0.000823383205315536	0.0311	0.0404	0.0356	0.0356	TRUE	NA
