"ID"	"S2_DRSC_CG8144_RNAi_1"	"S2_DRSC_CG8144_RNAi_3"	"S2_DRSC_CG8144_RNAi_4"	"S2_DRSC_Untreated_1"	"S2_DRSC_Untreated_3"	"S2_DRSC_Untreated_4"
"FBtr0089024"	"330.516085779034"	"298.076205526819"	"302.437791882151"	"400.601261541924"	"395.002240863098"	"470.106404586754"
"FBtr0070969"	"32.4927509943427"	"27.1206119339618"	"27.1154398158081"	"21.3403125832452"	"32.8708261605288"	"22.3215933500353"
"FBtr0072610"	"1312.46422642234"	"1342.04518519697"	"1420.61058265716"	"1482.8914099192"	"1481.71997653654"	"1389.57358068939"
"FBtr0345351"	"837.701055716062"	"742.022251707881"	"798.999201887414"	"905.794881177317"	"1013.11092418375"	"849.076833987883"
"FBtr0076542"	"52.8897292817254"	"127.039732692372"	"15.6770143466529"	"52.8855401628576"	"13.962847096214"	"73.9287330632337"
"FBtr0307510"	"27.8456923595465"	"11.2099001732511"	"37.0558032385967"	"22.8751564186687"	"28.4379823529653"	"25.8567821281891"
"FBtr0076972"	"22.7134776382892"	"11.3082312394559"	"15.8065229165754"	"11.2772237162755"	"28.4143189121785"	"11.3063894910915"
"FBtr0076973"	"121.538513403393"	"7.64171221321521"	"115.327061955107"	"18.0265136565359"	"157.504707067451"	"7.63987703151588"
"FBtr0076971"	"15.9580057546617"	"137.588737469653"	"9.77077981558311"	"132.866670255804"	"9.76975788346748"	"148.464591928259"
"FBtr0307511"	"20.3762696063204"	"16.8369522920249"	"15.1234921051305"	"19.5406441063529"	"18.5402369144017"	"24.5250481680777"
"FBtr0076970"	"29.3433363458141"	"20.8361002409434"	"20.8307659720121"	"9.83660919149653"	"21.8191402273"	"10.9391790281161"
"FBtr0343750"	"9.90647469095915"	"5.97022361802541"	"5.96559190782786"	"13.2333836876706"	"5.96462330959508"	"26.5884838618095"
"FBtr0082542"	"1145.89372682218"	"1213.25968605235"	"1186.61636334415"	"930.357932318196"	"906.910736117405"	"863.405099708591"
"FBtr0339641"	"195.41593692148"	"153.818374232985"	"178.797815187887"	"86.8819180547601"	"157.65589839517"	"83.6672799581558"
"FBtr0082543"	"53.1839691524895"	"86.4472260585887"	"70.6147272081888"	"71.4392330603338"	"54.7859773912943"	"45.1173918055767"
"FBtr0301928"	"27.7634166655448"	"37.0634641973688"	"54.2430407081474"	"19.4342128656002"	"0"	"10.4261840468482"
"FBtr0081491"	"11.2459663185897"	"2.0048263886514"	"2.00017891993447"	"18.6840179470434"	"29.5861042517995"	"27.8657795995361"
"FBtr0083483"	"195.599546322485"	"171.02195773847"	"179.828119722564"	"179.755459677042"	"196.567858987655"	"204.50162110393"
"FBtr0091930"	"359.418967269311"	"423.864416136475"	"532.914218262614"	"466.31694017302"	"357.16395536127"	"435.579189516574"
"FBtr0344978"	"327.28498094274"	"362.917870988311"	"254.160340345751"	"180.019637133102"	"189.273302664794"	"162.774655380171"
"FBtr0081642"	"1316.78853072749"	"1394.83278434202"	"1230.91264779935"	"1418.12847425194"	"1460.92195358133"	"1386.01832704661"
"FBtr0273208"	"227.883944919294"	"175.924312392053"	"170.82954510783"	"148.600125180417"	"186.096237893696"	"177.957942958209"
"FBtr0273210"	"219.567068440927"	"172.051044903382"	"128.624208570186"	"92.3174616378301"	"172.044462727901"	"155.892182669231"
"FBtr0273211"	"43.9370405948547"	"28.9935340214877"	"20.2387161767396"	"19.9981800562829"	"28.987197094428"	"39.6854733084459"
"FBtr0302895"	"165.774053449416"	"157.774242650087"	"152.594140133469"	"153.676738343485"	"165.531798778177"	"190.550344135895"
"FBtr0076343"	"243.633080333904"	"192.63751803345"	"146.051028938185"	"144.650794740378"	"201.550851780768"	"190.653314866219"
"FBtr0304675"	"639.609649531003"	"708.753214360001"	"687.217906638928"	"727.822809169376"	"783.206914056523"	"629.80631764612"
"FBtr0346005"	"162.380939744027"	"190.521868055533"	"117.421917188074"	"186.339354799968"	"184.49664850548"	"247.276471713976"
"FBtr0346003"	"381.059107077084"	"330.110949095223"	"317.394088937255"	"372.826092028037"	"413.159062211243"	"359.771229337715"
"FBtr0346006"	"351.631368033246"	"400.221904003584"	"461.951108006425"	"626.991252402041"	"581.499326621075"	"410.998937474745"
"FBtr0346001"	"19.1218426510229"	"19.7285720001089"	"9.43517644728273"	"20.7880348483062"	"29.1543588270244"	"18.0120230947689"
"FBtr0346007"	"23.7265516955638"	"28.3378496950956"	"20.3608906952716"	"38.6215227630679"	"49.5912323987027"	"23.9070473176341"
"FBtr0346002"	"3309.76411460944"	"3234.96669350485"	"3355.08962779228"	"3892.42789620433"	"4534.44414611366"	"3306.86612832286"
