"ID","S2_DRSC_Untreated_1","S2_DRSC_Untreated_3","S2_DRSC_Untreated_4","S2_DRSC_CG8144_RNAi_1","S2_DRSC_CG8144_RNAi_3","S2_DRSC_CG8144_RNAi_4","padj","log2FoldChange","pvalue","foldChange","log10padj"
"FBtr0300612",607.812374930344,620.32377198853,579.593238874005,361.617131719592,383.004409615875,340.273506567025,0.00233257313136473,-1.06421432721244,1.4907478311272e-07,0.478233027324883,2.63216473126838
"FBtr0301289",1973.44000441945,2206.91314244255,1920.0621497875,1152.23857388285,1123.60892992486,1045.5005593462,2.349795427204e-10,-1.26547093930928,1.50175460292964e-14,0.415963562100082,9.6289699456873
"FBtr0307520",1539.80899917285,1793.21935559417,1507.67067268285,812.259218761081,706.269106807077,802.092251157978,2.31876543065384e-11,-1.53081022488588,1.48192332757324e-15,0.346082950491801,10.6347431829382
"FBtr0336616",459.808953191242,546.885212831719,358.022777358817,29.6685192218028,42.262206388118,41.2550223104322,5.6375197491611e-28,-5.20629002881149,3.60293970036499e-32,0.0270863530710445,27.2489119237061
"FBtr0308065",983.134211754234,985.320783967176,1095.70497383166,401.034161288093,341.13594630862,353.028643040286,1.90966280608557e-22,-2.14282261372837,1.22046578007642e-26,0.2264363354759,21.7190433104404
"FBtr0301403",1592.82787790594,1463.97839143394,1739.4470844838,694.384818442229,736.867261688708,703.567302738843,2.53290275619788e-18,-1.68509786764704,1.61877852380512e-22,0.310981816633955,17.5963814834259
"FBtr0100595",302.884581957432,353.935797941696,345.493174046215,160.837949320406,101.06274481704,138.544261337845,0.00128608656295045,-1.91301664587097,8.219381114274e-08,0.265536732833114,2.89072979926053
"FBtr0335178",5206.11346998151,5995.8338204551,5867.85982018438,3478.98554361751,2969.0995563774,2885.85164268848,2.38099472145696e-07,-1.25680271351567,1.52169407647278e-11,0.418470342650243,6.62324156740262
"FBtr0087295",809.135802700812,823.318787036606,930.284572454954,450.844459160341,316.914661968767,458.657254616053,0.000967023619764811,-1.53379706272534,6.18024937537426e-08,0.345367189833098,3.01456291804911
"FBtr0306107",609.36002250399,674.337946810346,558.574338971848,209.072421409967,225.975602085382,204.606125611175,1.64910655238587e-15,-2.20564735469784,1.05394424003698e-19,0.216787374845821,14.7827512827313
"FBtr0330159",609.36002250399,674.337946810346,558.574338971848,209.072421409967,225.975602085382,204.606125611175,1.64910655238587e-15,-2.20564735469784,1.05394424003698e-19,0.216787374845821,14.7827512827313
